para_id,para_mon,except_dep
399333,2018-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399606,2014-01-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399606,2014-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399606,2014-07-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399606,2014-10-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399606,2015-01-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399606,2015-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399606,2015-07-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399606,2015-10-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399606,2016-01-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399606,2016-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399606,2016-07-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399606,2016-10-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399606,2017-01-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399606,2017-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399606,2017-07-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399606,2017-10-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399606,2018-01-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399606,2018-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
